concession,sample_id,sample_type,grade_g_t,depth_m,page,source_pdf,notes
akim_apapam,KP1,test_pit,0.29,2.9,41,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; phase1 preliminary
akim_apapam,KP2,test_pit,0.27,1.0,41,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; phase1 preliminary
akim_apapam,KP3,test_pit,0.95,2.2,41,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; phase1 preliminary
akim_apapam,KP4,test_pit,0.25,3.0,41,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; phase1 preliminary
akim_apapam,KP5,test_pit,0.21,3.15,41,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; phase1 preliminary
akim_apapam,KP6,test_pit,0.8,2.3,41,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; phase1 preliminary
akim_apapam,KP7,test_pit,0.86,2.4,41,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; phase1 preliminary
akim_apapam,KP8,test_pit,0.57,3.2,41,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; phase1 preliminary
akim_apapam,KP9,test_pit,0.67,1.6,41,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; phase1 preliminary
akim_apapam,KP10,test_pit,0.49,3.4,41,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; phase1 preliminary
akim_apapam,KP1,test_pit,0.29,5.3,122,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP2,test_pit,0.27,4.8,122,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP3,test_pit,0.95,3.7,122,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP4,test_pit,0.25,3.0,122,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP5,test_pit,0.21,4.06,122,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP6,test_pit,0.8,3.7,122,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP7,test_pit,0.86,3.5,122,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP8,test_pit,0.57,4.3,122,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP9,test_pit,0.67,4.2,122,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP10,test_pit,0.49,4.4,122,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP11,test_pit,0.32,5.0,122,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP12,test_pit,0.76,6.01,122,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP13,test_pit,0.19,3.3,122,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP14,test_pit,0.95,4.7,122,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP15,test_pit,0.76,7.18,122,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP16,test_pit,0.19,6.58,122,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP17,test_pit,0.19,2.59,122,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP18,test_pit,0.06,2.55,122,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP19,test_pit,0.32,2.0,122,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP20,test_pit,0.29,3.7,122,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP21,test_pit,0.45,2.2,122,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP22,test_pit,0.52,3.1,122,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP23,test_pit,0.19,2.1,122,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP24,test_pit,0.59,2.8,122,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP25,test_pit,0.61,2.9,122,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP26,test_pit,0.57,2.3,122,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP27,test_pit,0.41,2.9,122,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP28,test_pit,0.65,4.5,122,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP37,test_pit,0.4,2.4,123,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP38,test_pit,0.57,2.6,123,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP39,test_pit,0.21,4.8,123,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP40,test_pit,0.19,3.38,123,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP41,test_pit,0.73,3.6,123,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP42,test_pit,0.76,2.8,123,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP43,test_pit,0.83,3.0,123,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP44,test_pit,0.57,2.5,123,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP45,test_pit,0.48,1.6,123,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP46,test_pit,0.25,1.6,123,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP47,test_pit,0.61,1.4,123,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP48,test_pit,0.76,0.9,123,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP49,test_pit,0.95,1.3,123,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP50,test_pit,0.78,2.4,123,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP51,test_pit,0.48,2.7,123,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP52,test_pit,0.63,3.3,123,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP53,test_pit,0.65,3.6,123,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP54,test_pit,0.32,2.0,123,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP55,test_pit,0.62,2.0,123,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP56,test_pit,0.57,5.25,123,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP57,test_pit,0.19,2.0,123,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP58,test_pit,0.57,1.3,123,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP59,test_pit,0.48,1.6,123,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP60,test_pit,0.19,3.1,123,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP61,test_pit,0.19,2.2,123,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP62,test_pit,0.19,2.1,123,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP63,test_pit,0.19,1.85,123,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP64,test_pit,0.29,3.3,123,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP65,test_pit,0.24,2.1,123,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP66,test_pit,0.42,2.5,123,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP76,test_pit,0.21,3.2,124,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP77,test_pit,0.21,2.5,124,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP78,test_pit,0.19,2.2,124,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP79,test_pit,0.21,3.1,124,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP80,test_pit,0.19,1.8,124,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP81,test_pit,0.7,1.5,124,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP82,test_pit,0.19,1.6,124,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP83,test_pit,0.1,1.8,124,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
akim_apapam,KP84,test_pit,0.27,2.6,124,Hujak Mining Company Ltd-Akim Apapam_Feasibility_Report-23072025.pdf,g/m3; appendix1
