concession,sample_id,sample_type,lat,lon,utm_zone,utm_easting,utm_northing,grade_g_t,page,source_pdf
amenam,AMPIT001,test_pit,6.408706,-1.038125,30N,716994.0,708799.0,0.79,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT002,test_pit,6.409015,-1.040835,30N,716694.0,708832.0,0.44,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT003,test_pit,6.409798,-1.039883,30N,716799.0,708919.0,1.0,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT004,test_pit,6.409489,-1.037146,30N,717102.0,708886.0,1.6,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT005,test_pit,6.410471,-1.038498,30N,716952.0,708994.0,0.1,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT006,test_pit,6.410346,-1.036727,30N,717148.0,708981.0,0.55,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT007,test_pit,6.411399,-1.037636,30N,717047.0,709097.0,0.0,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT008,test_pit,6.411828,-1.036297,30N,717195.0,709145.0,0.53,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT009,test_pit,6.410015,-1.035111,30N,717327.0,708945.0,0.51,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT010,test_pit,6.411286,-1.034265,30N,717420.0,709086.0,0.61,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT011,test_pit,6.412822,-1.036275,30N,717197.0,709255.0,1.13,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT012,test_pit,6.412395,-1.038211,30N,716983.0,709207.0,0.2,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT013,test_pit,6.413774,-1.036886,30N,717129.0,709360.0,1.37,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT014,test_pit,6.412996,-1.03923,30N,716870.0,709273.0,0.2,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT015,test_pit,6.415051,-1.037441,30N,717067.0,709501.0,0.79,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT016,test_pit,6.414113,-1.040599,30N,716718.0,709396.0,0.44,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT017,test_pit,6.416839,-1.039468,30N,716842.0,709698.0,1.3,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT018,test_pit,6.41618,-1.041929,30N,716570.0,709624.0,1.6,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT019,test_pit,6.415463,-1.041227,30N,716648.0,709545.0,0.71,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT020,test_pit,6.416035,-1.037275,30N,717085.0,709610.0,0.91,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT021,test_pit,6.414067,-1.035574,30N,717274.0,709393.0,1.6,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT022,test_pit,6.412073,-1.034308,30N,717415.0,709173.0,0.71,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT023,test_pit,6.413414,-1.032621,30N,717601.0,709322.0,0.15,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT024,test_pit,6.410243,-1.033275,30N,717530.0,708971.0,0.11,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT025,test_pit,6.411285,-1.031653,30N,717709.0,709087.0,0.53,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT026,test_pit,6.408758,-1.03282,30N,717581.0,708807.0,1.0,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT027,test_pit,6.409512,-1.029066,30N,717996.0,708892.0,0.79,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT028,test_pit,6.409559,-1.026961,30N,718229.0,708898.0,1.37,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT029,test_pit,6.409471,-1.025262,30N,718417.0,708889.0,0.54,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT030,test_pit,6.412802,-1.021616,30N,718819.0,709259.0,0.79,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
